Primary or Secondary interaction,Citation Number,Citation Short Description,Region,Location Description,Country,Habitat Type,Lat.,Long.,Elev. (or Range Min),Elev. Range Max,Interaction Type,Interaction Tags,Subject Order,Bat Family,Bat Genus,Bat Species,Plant/Arthropod,Object Class,Object Order,Object Family,Object Genus,Object Species
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper aequale
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Moraceae,Brosimum,Brosimum bernadetteae
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Consumption,C,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Fabaceae,Dipteryx,Dipteryx panamensis
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Cyclanthaceae,Carludovica,Carludovica palmata
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Urticaceae,Cecropia,Cecropia exima
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Fabaceae,Cassia,Cassia undulata
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Malvaceae,Quararibea,Quararibea asterolepis
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa pusilla,Plant,,,Moraceae,Ficus,Ficus yoponensis
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,Ficus insipida
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Vampyrodes,Vampyrodes caraccioli,Plant,,,Moraceae,Ficus,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus insipida
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,Piper aequale
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,Piper reticulatum
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Urticaceae,Cecropia,Cecropia exima
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Centurio,Centurio senex,Plant,,,Anacardiaceae,Spondias,Spondias radlkoferi
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Piperaceae,Piper,Piper cordulatum
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Bromeliaceae,Aechmea,Aechmea tillandsioides
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Moraceae,Brosimum,Brosimum bernadetteae
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Solanaceae,Markea,Markea panamensis
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Solanaceae,Solanum,Solanum hayesii
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Cyclanthaceae,Carludovica,Carludovica palmata
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Urticaceae,Cecropia,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Anacardiaceae,Spondias,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Malvaceae,Quararibea,Quararibea asterolepis
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Moraceae,Ficus,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Anacardiaceae,Spondias,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Urticaceae,Cecropia,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Anacardiaceae,Spondias,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Fabaceae,Dipteryx,Dipteryx panamensis
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plant,,,Urticaceae,Cecropia,Cecropia exima
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Urticaceae,Cecropia,Cecropia exima
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus phaeotis,Plant,,,Moraceae,Ficus,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Clusiaceae,Havetiopsis,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Plant,,,Anacardiaceae,Anacardium,Anacardium excelsum
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,,,,Plant,,,Clusiaceae,Calophyllum,Calophyllum longifolium
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,Piper marginatum
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Seed Dispersal,,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Plant,,,Piperaceae,Piper,
Primary  ,34,"Bonaccorso, F. J. 1979",Central America,Barro Colorado Island,Panama,Forest,9.15164,-79.8509,25,145,Consumption,Arthropod,Chiroptera,Phyllostomidae,Tonatia,Tonatia bidens,Arthropod,Insecta,Hemiptera,Cicadidae,Fidicina,Fidicina mannifera
Primary  ,36,"Buzato, S. & A. L. M. Franco. 1992",South America,Forest Reserve of the Companhia Vale do Rio Doce,Brazil,Forest,-19.1,-39.75,3,,Visitation,Flower,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla pumilio,Plant,,,Passifloraceae,Tetrastylis,Tetrastylis ovalis
Primary  ,36,"Buzato, S. & A. L. M. Franco. 1992",South America,Forest Reserve of the Companhia Vale do Rio Doce,Brazil,Forest,-19.1,-39.75,3,,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Passifloraceae,Tetrastylis,Tetrastylis ovalis
Primary  ,37,"Buzato, S., M. Sazima & I. Sazima. 1994",South America,Parque Estadual da Serra de Mar,Brazil,Forest,-23.0743544,-44.9561012,1100,,Visitation,Flower,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,Plant,,,Malvaceae,Abutilon,Abutilon rufinerve
Primary  ,37,"Buzato, S., M. Sazima & I. Sazima. 1994",South America,Parque Estadual de Campos do Jordao,Brazil,Forest,-22.7333333,-45.58333333,1500,,Visitation,Flower,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,Plant,,,Malvaceae,Abutilon,Abutilon regnellii
Primary  ,37,"Buzato, S., M. Sazima & I. Sazima. 1994",South America,"Monte Verde, Camanducaia, Serra de Mantiqueira",Brazil,Forest,-22.7666667,-46.15,1600,,Visitation,Flower,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,Plant,,,Malvaceae,Abutilon,Abutilon regnellii
Primary  ,38,"Cáceres, N. C. & M. O. Moura. 2003",South America,Federal University of Parana,Brazil,Forest,-25.4269081,-49.2617658,906,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Plant,,,Solanaceae,Solanum,Solanum granuloso-leprosum
Primary  ,38,"Cáceres, N. C. & M. O. Moura. 2003",South America,Federal University of Parana,Brazil,Forest,-25.4269081,-49.2617658,906,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Pygoderma,Pygoderma bilabiatum,Plant,,,Solanaceae,Solanum,Solanum granuloso-leprosum
Primary  ,38,"Cáceres, N. C. & M. O. Moura. 2003",South America,Federal University of Parana,Brazil,Forest,-25.4269081,-49.2617658,906,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Plant,,,Solanaceae,Solanum,Solanum granuloso-leprosum
Primary  ,39,"Carvalho, C. T. de. 1960",,,Brazil,,,,,,,,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Bignoniaceae,Crescentia,Crescentia cujete
Primary  ,39,"Carvalho, C. T. de. 1960",,,Brazil,,,,,,,,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plant,,,Malvaceae,Ceiba,Ceiba pentandra
Primary  ,39,"Carvalho, C. T. de. 1960",,,Brazil,,,,,,,,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plant,,,Malvaceae,Ceiba,Ceiba pentandra
Primary  ,39,"Carvalho, C. T. de. 1960",,,Brazil,,,,,,,,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Capparaceae,Crateva,Crateva benthamii
Primary  ,39,"Carvalho, C. T. de. 1960",,,Brazil,,,,,,,,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plant,,,Mimosaceae,Parkia,Parkia pendula
Primary  ,39,"Carvalho, C. T. de. 1960",,,Brazil,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plant,,,Mimosaceae,Parkia,Parkia gigantocarpa
Primary  ,39,"Carvalho, C. T. de. 1960",,,Brazil,,,,,,,,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plant,,,Mimosaceae,Parkia,Parkia gigantocarpa
Primary  ,39,"Carvalho, C. T. de. 1960",,,Brazil,,,,,,,,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Fabaceae,Hymenaea,Hymenaea courbaril
Primary  ,39,"Carvalho, C. T. de. 1960",,,Brazil,,,,,,,,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plant,,,Mimosaceae,Parkia,Parkia pendula
Primary  ,39,"Carvalho, C. T. de. 1960",,,Brazil,,,,,,,,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Malvaceae,Bombacopsis,Bombacopsis fendleri
Primary  ,39,"Carvalho, C. T. de. 1960",,,Brazil,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Fabaceae,Elizabetha,Elizabetha paraensis
Primary  ,39,"Carvalho, C. T. de. 1960",,,Brazil,,,,,,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Caesalpiniaceae,Alexa,Alexa grandiflora
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Fabaceae,Alexa,Alexa grandiflora
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Nyctaginaceae,Bougainvillea,Bougainvillea spectabilis
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Bignoniaceae,Crescentia,Crescentia cujete
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plant,,,Malvaceae,Ceiba,Ceiba pentandra
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plant,,,Malvaceae,Ceiba,Ceiba pentandra
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Capparaceae,Crateva,Crateva benthamii
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Fabaceae,Elizabetha,Elizabetha paraensis
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Fabaceae,Hymenaea,Hymenaea courbaril
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plant,,,Fabaceae,Parkia,Parkia gigantocarpa
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plant,,,Fabaceae,Parkia,Parkia gigantocarpa
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Plant,,,Fabaceae,Parkia,Parkia pendula
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Plant,,,Fabaceae,Parkia,Parkia pendula
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Visitation,Flower,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Bignoniaceae,Crescentia,Crescentia amazonica
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Myrtaceae,Psidium,Psidium guajava
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Piperaceae,Piper,
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Urticaceae,Cecropia,
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Urticaceae,Cecropia,Cecropia bureaniana
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Moraceae,Ficus,Ficus retusa
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Moraceae,Ficus,Ficus radula
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Urticaceae,Cecropia,Cecropia bureaniana
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Arecaceae,Iriartea,Iriartea exorrhiza
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Myrtaceae,Jambosa,Jambosa vulgaris
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus radula
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Moraceae,Ficus,Ficus retusa
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Sapotaceae,Achras,Achras sapota
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,Plant,,,Sapotaceae,Achras,Achras sapota
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Arecaceae,Oenocarpus,Oenocarpus distichus
Primary  ,40,"Carvalho, C. T. de. 1961",South America,"Museu Goeldi, Belem",Brazil,Artificial Landscape,-1.4557549,-48.4901799,10,,Seed Dispersal,Seed,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Plant,,,Moraceae,Ficus,
Primary  ,41,"Casas, A. et al. 1999",Central America,,Mexico,Forest,,,600,2000,Visitation,Flower,Chiroptera,Phyllostomidae,Artibeus,Artibeus jamaicensis,Plant,,,Cactaceae,Stenocereus,Stenocereus stellatus
Primary  ,41,"Casas, A. et al. 1999",Central America,,Mexico,Forest,,,600,2000,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris curasoae,Plant,,,Cactaceae,Stenocereus,Stenocereus stellatus
Primary  ,41,"Casas, A. et al. 1999",Central America,,Mexico,Forest,,,600,2000,Pollination,Flower,Chiroptera,Phyllostomidae,Leptonycteris,Leptonycteris nivalis,Plant,,,Cactaceae,Stenocereus,Stenocereus stellatus